id,name,label,address,add_time,cc_email,owner_id,company_id,first_char,owner_name,picture_id,visible_to,active_flag,category_id,delete_time,files_count,notes_count,update_time,country_code,people_count,address_route,address_country,followers_count,won_deals_count,activities_count,address_locality,last_activity_id,lost_deals_count,next_activity_id,open_deals_count,address_subpremise,closed_deals_count,last_activity_date,next_activity_date,next_activity_time,address_postal_code,address_sublocality,email_messages_count,address_street_number,done_activities_count,related_won_deals_count,undone_activities_count,related_lost_deals_count,related_open_deals_count,address_formatted_address,address_admin_area_level_1,address_admin_area_level_2,related_closed_deals_count
435,Arc Resources Ltd,23247.0,,2016-05-19 17:18:16,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,a,API Admin (Do Not Delete),,3,True,,,27,16,2023-12-08 09:23:30,,14,,,7,21,84,,32378.0,7,,7,,28,2021-06-21,,,,,22,,84,0,0,0,0,,,,0
439,"Tenaz Energy, Inc.",,"2500 5th Avenue Southwest, Calgary, Alberta T2P 3H5, Canada",2016-05-19 17:18:17,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,t,API Admin (Do Not Delete),,3,True,,,14,10,2023-11-21 18:22:43,,1,5 Avenue Southwest,Canada,3,9,97,Calgary,32799.0,7,10574.0,9,,23,2022-04-14,2018-03-05,17:15:00,T2P 3H5,,135,,91,0,6,0,0,"5 Ave SW, Calgary, AB T2P 3H5, Canada",Alberta,Division No. 6,0
442,Archer Exploration,,"520, 510 - 5th St  SW  Calgary, AB T2P 3S2 ",2016-05-19 17:18:17,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,a,API Admin (Do Not Delete),,3,True,,,0,4,2022-11-17 17:08:00,,2,5 Street Southwest,Canada,2,18,144,Calgary,29983.0,6,,15,,38,2020-07-21,,,T2P 3S2,,1,510,144,0,0,0,0,"510 5 St SW, Calgary, AB T2P 3S2, Canada",Alberta,Division No. 6,0
443,Paramount Resources,,"Suite 2800, 421 7th Avenue S.W. Calgary AB T2P 4K9",2016-05-19 17:18:17,ncsmultistagecanada@pipedrivemail.com,"{""id"": 14012798, ""name"": ""Kevin Cameron"", ""email"": ""kcameron@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""ed870b4d2bc2cbb8524a82fb3564288f"", ""active_flag"": true, ""value"": 14012798}",7791319,p,Kevin Cameron,,3,True,,,36,19,2023-12-08 09:21:50,,27,7 Avenue Southwest,Canada,5,12,147,Calgary,33222.0,15,33557.0,6,Suite 2800,49,2022-04-08,2022-08-16,15:00:00,T2P 4K9,,82,421,146,0,1,0,0,"421 7 Ave SW Suite 2800, Calgary, AB T2P 4K9, Canada",Alberta,,0
448,Surge Energy,,"1110   335 - 8th Ave SW  Calgary, AB T2P 1C9 ",2016-05-19 17:18:17,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,s,API Admin (Do Not Delete),,3,True,,,12,3,2023-11-03 17:50:47,,2,,,3,8,34,,28600.0,5,15672.0,11,,20,2020-07-03,2018-10-09,21:15:00,,,24,,33,0,1,0,0,,,,0
449,Athabasca Oil Corp,,"250 6th Avenue Southwest, Southwest Calgary, Calgary, AB T2P 3H7, Canada",2016-05-19 17:18:17,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,a,API Admin (Do Not Delete),,3,True,,,2,5,2023-11-29 18:16:49,,3,6 Avenue Southwest,Canada,2,0,26,Calgary,31152.0,8,30226.0,5,,14,2020-10-22,2020-08-18,,T2P 3H7,,297,250,25,0,1,0,0,"250 6 Ave SW, Calgary, AB T2P 3H7, Canada",Alberta,Division No. 6,0
456,Birchcliff Energy Ltd.,,"500, 630 - 4th Ave SW  Calgary, AB T2P 0J9 ",2016-05-19 17:18:18,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,b,API Admin (Do Not Delete),,3,True,,,2,3,2023-12-08 09:23:33,,13,4 Avenue Southwest,Canada,4,5,104,Calgary,33083.0,3,,6,# 8,16,2022-03-03,,,T2P 0J9,Manhattan,97,630,104,0,0,0,0,"630 4 Ave SW, Calgary, AB T2P 0J9, Canada",Alberta,Division No. 6,0
457,Birchill Canada,,"820, 815 - 8th Avenue SW  Calgary, AB T2P 3P2 ",2016-05-19 17:18:18,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,b,API Admin (Do Not Delete),,3,True,,,0,0,2023-12-08 09:21:44,,2,8 Avenue Southwest,Canada,1,2,2,Calgary,30113.0,3,30114.0,1,,7,2020-07-28,2020-08-10,,T2P 3P2,,200,815,1,0,1,0,0,"815 8 Ave SW, Calgary, AB T2P 3P2, Canada",Alberta,Division No. 6,0
458,Black Swan Energy,,"Bow Valley Square III, 5 Avenue Southwest, Calgary, AB T2P 3G6, Canada",2016-05-19 17:18:18,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,b,API Admin (Do Not Delete),,3,True,,,0,5,2023-12-08 09:19:33,,7,5 Avenue Southwest,Canada,3,0,13,Calgary,29843.0,2,,2,,3,2020-07-13,,,T2P 3G6,,67,255,13,0,0,0,0,"255 5 Ave SW, Calgary, AB T2P 3G6, Canada",Alberta,Division No. 6,0
462,Blackspur Oil Corp,,"1110, 335-8 Ave SW  Calgary, AB T2P 1C9 ",2016-05-19 17:18:18,ncsmultistagecanada@pipedrivemail.com,"{""id"": 1860952, ""name"": ""API Admin (Do Not Delete)"", ""email"": ""bi@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 1860952}",7791319,b,API Admin (Do Not Delete),,3,True,,,0,1,2023-07-13 18:21:59,,5,,,3,6,58,,21807.0,0,27921.0,11,,9,2020-06-01,2020-08-10,,,,130,,55,0,3,0,0,,,,0
