id,name,label,address,add_time,cc_email,owner_id,company_id,first_char,owner_name,picture_id,visible_to,active_flag,category_id,delete_time,files_count,notes_count,update_time,country_code,people_count,address_route,address_country,followers_count,won_deals_count,activities_count,address_locality,last_activity_id,lost_deals_count,next_activity_id,open_deals_count,address_subpremise,closed_deals_count,last_activity_date,next_activity_date,next_activity_time,address_postal_code,address_sublocality,email_messages_count,address_street_number,done_activities_count,related_won_deals_count,undone_activities_count,related_lost_deals_count,related_open_deals_count,address_formatted_address,address_admin_area_level_1,address_admin_area_level_2,related_closed_deals_count
433,Advance Drilling Ltd,,"1001, 505 3rd St SW  Calgary, AB T2P 3Z6 ",2016-05-19 17:18:16,ncsmultistagellc@pipedrivemail.com,"{""id"": 8226870, ""name"": ""John McTavish"", ""email"": ""jmctavish@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""10174fa5601a678e78ce34270f9d1d26"", ""active_flag"": false, ""value"": 8226870}",549622,a,John McTavish,,3,True,,,0,0,2019-03-06 16:53:36,,0,3 Street Southwest,Canada,0,0,1,Calgary,10837.0,0,,0,,0,2018-03-01,,,,,0,505,1,0,0,0,0,"505 3 St SW, Calgary, AB T2P, Canada",Alberta,Division No. 6,0
434,6550587 Manitoba LTD ***COD**,,"10801 Bonaventure Dr SE Calgary, AB T2J 6Z8 ",2016-05-19 17:18:16,ncsmultistagellc@pipedrivemail.com,"{""id"": 8226870, ""name"": ""John McTavish"", ""email"": ""jmctavish@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""10174fa5601a678e78ce34270f9d1d26"", ""active_flag"": false, ""value"": 8226870}",549622,6,John McTavish,,3,True,,,0,0,2019-03-06 16:53:36,,0,Bonaventure Drive Southeast,Canada,0,0,0,Calgary,,0,,0,,0,,,,T2J 6Z8,,0,10801,0,0,0,0,0,"10801 Bonaventure Dr SE, Calgary, AB T2J 6Z8, Canada",Alberta,Division No. 6,0
435,Arc Resources Ltd,23247.0,,2016-05-19 17:18:16,ncsmultistagellc@pipedrivemail.com,"{""id"": 9079430, ""name"": ""Aaron Nemish"", ""email"": ""anemish@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""d3057e045a682796ef6cb07f3b9de010"", ""active_flag"": false, ""value"": 9079430}",549622,a,Aaron Nemish,,3,True,,,27,15,2023-12-08 13:54:44,,13,,,5,0,81,,30779.0,0,31357.0,0,,0,2020-09-16,2020-11-18,18:30:00,,,19,,80,0,1,0,0,,,,0
436,1852797 Alberta ULC,,"3700, 400 3rd Ave SW  Calgary, AB T2P 4H2 ",2016-05-19 17:18:16,ncsmultistagellc@pipedrivemail.com,"{""id"": 1417395, ""name"": ""Calvin Ross"", ""email"": ""calvin@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""a751d34f863a47653e71de684ed85395"", ""active_flag"": false, ""value"": 1417395}",549622,1,Calvin Ross,,3,True,,,0,0,2016-05-26 15:13:12,,0,3 Avenue Southwest,Canada,0,0,0,Calgary,,0,,0,,0,,,,T2P 4H2,,0,400,0,0,0,0,0,"Devon Tower, 400 3 Ave SW, Calgary, AB T2P 4H2, Canada",Alberta,Division No. 6,0
438,Alder Ridge Resources LTD,,"Suite 1770, 700 6th Ave SW  Calgary, AB T2P 0T8 ",2016-05-19 17:18:17,ncsmultistagellc@pipedrivemail.com,"{""id"": 8226870, ""name"": ""John McTavish"", ""email"": ""jmctavish@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""10174fa5601a678e78ce34270f9d1d26"", ""active_flag"": false, ""value"": 8226870}",549622,a,John McTavish,,3,True,,,0,0,2019-03-06 16:53:36,,0,6 Avenue Southwest,Canada,0,0,0,Calgary,,0,,0,1770,0,,,,T2P 0T8,,0,700,0,0,0,0,0,"700 6 Ave SW #1770, Calgary, AB T2P 0T8, Canada",Alberta,Division No. 6,0
439,"Altura Energy, Inc.",,"PO Box 858 Station Main Calgary, AB T2P 2J6 ",2016-05-19 17:18:17,ncsmultistagellc@pipedrivemail.com,"{""id"": 9079430, ""name"": ""Aaron Nemish"", ""email"": ""anemish@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""d3057e045a682796ef6cb07f3b9de010"", ""active_flag"": false, ""value"": 9079430}",549622,a,Aaron Nemish,,3,True,,,14,6,2022-01-04 16:03:57,,2,,Canada,3,0,88,Calgary,30778.0,0,10574.0,0,,0,2020-09-15,2018-03-05,17:15:00,T2P 2J6,,0,,82,0,6,0,0,"Calgary, AB T2P 2J6, Canada",Alberta,Division No. 6,0
440,Allstar,,"502 - 224 4th Ave. South  Saskatoon, SK S&K 5M5 Canada",2016-05-19 17:18:17,ncsmultistagellc@pipedrivemail.com,"{""id"": 8226870, ""name"": ""John McTavish"", ""email"": ""jmctavish@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""10174fa5601a678e78ce34270f9d1d26"", ""active_flag"": false, ""value"": 8226870}",549622,a,John McTavish,,3,True,,,0,0,2019-03-06 16:53:36,,0,4th Avenue South,Canada,0,0,0,Saskatoon,,0,,0,,0,,,,S7K 0C5,,0,224,0,0,0,0,0,"224 4th Ave S, Saskatoon, SK S7K 0C5, Canada",Saskatchewan,Division No. 11,0
441,Amarone Oil & Gas,,"700, 407-2nd Street S.W.  Calgary, AB T2P 2Y3 Canada",2016-05-19 17:18:17,ncsmultistagellc@pipedrivemail.com,"{""id"": 8226870, ""name"": ""John McTavish"", ""email"": ""jmctavish@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""10174fa5601a678e78ce34270f9d1d26"", ""active_flag"": false, ""value"": 8226870}",549622,a,John McTavish,,3,True,,,0,0,2019-03-06 16:53:36,,0,2 Street Southwest,Canada,0,0,0,Calgary,,0,,0,,0,,,,,,0,407,0,0,0,0,0,"407 2 St SW, Calgary, AB T2P, Canada",Alberta,Division No. 6,0
442,Anegada Oil Corp.,,"520, 510 - 5th St  SW  Calgary, AB T2P 3S2 ",2016-05-19 17:18:17,ncsmultistagellc@pipedrivemail.com,"{""id"": 11440623, ""name"": ""Brennan Strasky"", ""email"": ""bstrasky@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""00ef195c44ae03cc51f4a32f9254e69b"", ""active_flag"": false, ""value"": 11440623}",549622,a,Brennan Strasky,,3,True,,,0,2,2022-01-04 16:04:20,,2,5 Street Southwest,Canada,3,0,144,Calgary,29983.0,0,,0,,0,2020-07-21,,,T2P 3S2,,1,510,144,0,0,0,0,"510 5 St SW, Calgary, AB T2P 3S2, Canada",Alberta,Division No. 6,0
443,Paramount Resources,,"4700, 888 3rd St SW  Calgary, AB T2P 5C5",2016-05-19 17:18:17,ncsmultistagellc@pipedrivemail.com,"{""id"": 11440623, ""name"": ""Brennan Strasky"", ""email"": ""bstrasky@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""00ef195c44ae03cc51f4a32f9254e69b"", ""active_flag"": false, ""value"": 11440623}",549622,p,Brennan Strasky,,3,True,,,36,19,2023-12-08 13:54:51,,25,3 Street Southwest,Canada,3,0,136,Calgary,29582.0,0,29078.0,0,4700,0,2020-08-04,2020-08-11,,T2P,,57,888,135,0,1,0,0,"4700-888 3 St SW, Calgary, AB T2P, Canada",Alberta,Division No. 6,0
444,Arruga Oil And Gas,,"246 Stewart Green SW.  Calgary, AB T3H 3C8 Canada",2016-05-19 17:18:17,ncsmultistagellc@pipedrivemail.com,"{""id"": 8226870, ""name"": ""John McTavish"", ""email"": ""jmctavish@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""10174fa5601a678e78ce34270f9d1d26"", ""active_flag"": false, ""value"": 8226870}",549622,a,John McTavish,,3,True,,,0,0,2019-03-06 16:53:36,,0,,,0,0,0,,,0,,0,,0,,,,,,0,,0,0,0,0,0,,,,0
445,Artek Exploration Ltd,,"Suite 2300, 520-5th Ave SW  Calgary, AB T2P 3R7 ",2016-05-19 17:18:17,ncsmultistagellc@pipedrivemail.com,"{""id"": 1417400, ""name"": ""Rich Pulles"", ""email"": ""rich@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""a346ee1145e4cd3dbd98d01dd329369a"", ""active_flag"": false, ""value"": 1417400}",549622,a,Rich Pulles,,3,True,,,0,0,2016-05-26 15:13:12,,0,,,0,0,0,,,0,,0,,0,,,,,,0,,0,0,0,0,0,,,,0
446,"Angle Energy, Inc.",,"700, 324 - 8th Ave SW  Calgary, AB T2P 2Z2 ",2016-05-19 17:18:17,ncsmultistagellc@pipedrivemail.com,"{""id"": 8226870, ""name"": ""John McTavish"", ""email"": ""jmctavish@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""10174fa5601a678e78ce34270f9d1d26"", ""active_flag"": false, ""value"": 8226870}",549622,a,John McTavish,,3,True,,,0,0,2019-03-06 16:53:36,,0,8 Avenue Southwest,Canada,0,0,0,Calgary,,0,,0,,0,,,,T2P 2Z2,,0,324,0,0,0,0,0,"324 8 Ave SW, Calgary, AB T2P 2Z2, Canada",Alberta,Division No. 6,0
447,Antler River Resources,,"Box 115  Pierson, MB R0M 1S0 Canada",2016-05-19 17:18:17,ncsmultistagellc@pipedrivemail.com,"{""id"": 8226870, ""name"": ""John McTavish"", ""email"": ""jmctavish@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""10174fa5601a678e78ce34270f9d1d26"", ""active_flag"": false, ""value"": 8226870}",549622,a,John McTavish,,3,True,,,0,0,2019-03-06 16:53:36,,0,,Canada,0,0,0,Pierson,,0,,0,,0,,,,R0M 1S0,,0,,0,0,0,0,0,"Pierson, MB R0M 1S0, Canada",Manitoba,Division No. 5,0
448,Astra Oil Corp,,"1110   335 - 8th Ave SW  Calgary, AB T2P 1C9 ",2016-05-19 17:18:17,ncsmultistagellc@pipedrivemail.com,"{""id"": 11440623, ""name"": ""Brennan Strasky"", ""email"": ""bstrasky@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""00ef195c44ae03cc51f4a32f9254e69b"", ""active_flag"": false, ""value"": 11440623}",549622,a,Brennan Strasky,,3,True,,,12,1,2023-12-08 13:54:53,,2,,,2,0,34,,28600.0,0,15672.0,0,,0,2020-07-03,2018-10-09,21:15:00,,,24,,33,0,1,0,0,,,,0
449,Athabasca Oil Corp,,"2000-250 6th Ave SW Calgary, AB T2P 3H7 ,   ",2016-05-19 17:18:17,ncsmultistagellc@pipedrivemail.com,"{""id"": 5667256, ""name"": ""Tyler Sanden"", ""email"": ""tsanden@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""e67d3eecfd622867138042d6790ee288"", ""active_flag"": false, ""value"": 5667256}",549622,a,Tyler Sanden,,3,True,,,2,5,2023-12-08 13:54:37,,3,,,2,0,26,,31152.0,0,30226.0,0,,0,2020-10-22,2020-08-18,,,,55,,25,0,1,0,0,,,,0
450,Baccalieu Energy Inc,23248.0,"500  635 - 8th Ave SW  Calgary, AB T2P 3M3 ",2016-05-19 17:18:17,ncsmultistagellc@pipedrivemail.com,"{""id"": 1417400, ""name"": ""Rich Pulles"", ""email"": ""rich@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""a346ee1145e4cd3dbd98d01dd329369a"", ""active_flag"": false, ""value"": 1417400}",549622,b,Rich Pulles,,3,True,,,6,6,2023-12-08 13:54:26,,3,,,2,0,58,,27909.0,0,29297.0,0,,0,2020-06-17,2020-09-01,,,,119,,57,0,1,0,0,,,,0
451,Avenex Energy,,"Deadeye Engineering Suite 1705 639 5th Ave SW ,",2016-05-19 17:18:18,ncsmultistagellc@pipedrivemail.com,"{""id"": 3775635, ""name"": ""Derek Ingraham"", ""email"": ""dingraham@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": false, ""value"": 3775635}",549622,a,Derek Ingraham,,3,True,,,0,0,2018-07-17 22:03:02,,0,5 Avenue Southwest,Canada,0,0,0,Calgary,,0,,0,1705,0,,,,T2P 0M9,,0,639,0,0,0,0,0,"639 5 Ave SW #1705, Calgary, AB T2P 0M9, Canada",Alberta,Division No. 6,0
452,Baker Hughes,,"1300, 401-9 9th Ave SW  Calgary, AB T2P 3C5 ",2016-05-19 17:18:18,ncsmultistagellc@pipedrivemail.com,"{""id"": 8226870, ""name"": ""John McTavish"", ""email"": ""jmctavish@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""10174fa5601a678e78ce34270f9d1d26"", ""active_flag"": false, ""value"": 8226870}",549622,b,John McTavish,,3,True,,,0,0,2020-05-28 22:06:52,,0,,,1,0,0,,,0,,0,,0,,,,,,0,,0,0,0,0,0,,,,0
453,Beaumont Energy Inc.,,"Suite 100 1601 Westmount Rd NW Calgary, AB T2N-3M2 ",2016-05-19 17:18:18,ncsmultistagellc@pipedrivemail.com,"{""id"": 8226870, ""name"": ""John McTavish"", ""email"": ""jmctavish@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""10174fa5601a678e78ce34270f9d1d26"", ""active_flag"": false, ""value"": 8226870}",549622,b,John McTavish,,3,True,,,0,0,2019-03-06 16:53:36,,0,Westmount Road Northwest,Canada,0,0,0,Calgary,,0,,0,100,0,,,,T2N 3M2,,0,1601,0,0,0,0,0,"1601 Westmount Rd NW #100, Calgary, AB T2N 3M2, Canada",Alberta,Division No. 6,0
454,Barrick Energy Inc.,,"1100, 530 - 8th Ave SW  Calgary, AB T2P 3S8 Canada",2016-05-19 17:18:18,ncsmultistagellc@pipedrivemail.com,"{""id"": 8226870, ""name"": ""John McTavish"", ""email"": ""jmctavish@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""10174fa5601a678e78ce34270f9d1d26"", ""active_flag"": false, ""value"": 8226870}",549622,b,John McTavish,,3,True,,,0,0,2019-03-06 16:53:36,,0,8 Avenue Southwest,Canada,0,0,0,Calgary,,0,,0,,0,,,,T2P 3S8,,0,530,0,0,0,0,0,"530 8 Ave SW, Calgary, AB T2P 3S8, Canada",Alberta,Division No. 6,0
456,Birchcliff Energy Ltd.,,"500, 630 - 4th Ave SW  Calgary, AB T2P 0J9 ",2016-05-19 17:18:18,ncsmultistagellc@pipedrivemail.com,"{""id"": 9079430, ""name"": ""Aaron Nemish"", ""email"": ""anemish@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""d3057e045a682796ef6cb07f3b9de010"", ""active_flag"": false, ""value"": 9079430}",549622,b,Aaron Nemish,,3,True,,,2,3,2023-12-08 13:54:41,,11,4 Avenue Southwest,Canada,2,0,97,Calgary,30771.0,0,31412.0,0,# 8,0,2020-09-21,2020-11-18,16:00:00,T2P 0J9,Manhattan,95,630,96,0,1,0,0,"630 4 Ave SW, Calgary, AB T2P 0J9, Canada",Alberta,Division No. 6,0
457,Birchill Canada,,"820, 815 - 8th Avenue SW  Calgary, AB T2P 3P2 ",2016-05-19 17:18:18,ncsmultistagellc@pipedrivemail.com,"{""id"": 1417400, ""name"": ""Rich Pulles"", ""email"": ""rich@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""a346ee1145e4cd3dbd98d01dd329369a"", ""active_flag"": false, ""value"": 1417400}",549622,b,Rich Pulles,,3,True,,,0,0,2023-12-08 13:55:34,,2,8 Avenue Southwest,Canada,1,0,2,Calgary,30113.0,0,30114.0,0,,0,2020-07-28,2020-08-10,,T2P 3P2,,198,815,1,0,1,0,0,"815 8 Ave SW, Calgary, AB T2P 3P2, Canada",Alberta,Division No. 6,0
458,Black Swan Energy,,"Suite 1200 Bow Valley Square III Calgary, AB T2P3G6 ",2016-05-19 17:18:18,ncsmultistagellc@pipedrivemail.com,"{""id"": 10028912, ""name"": ""Chris Miller"", ""email"": ""cmiller@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""9583e72161a78534948d9bfed3ea5c04"", ""active_flag"": false, ""value"": 10028912}",549622,b,Chris Miller,,3,True,,,0,4,2023-12-08 13:54:31,,7,,,3,0,13,,29843.0,0,26251.0,2,,0,2020-07-13,2020-03-02,17:00:00,,,66,,12,0,1,0,0,,,,0
459,Black Gold Energy Ltd,,"2600, 520 - 5th Avenue  Calgary, AB T2P 3R7 Canada",2016-05-19 17:18:18,ncsmultistagellc@pipedrivemail.com,"{""id"": 8226870, ""name"": ""John McTavish"", ""email"": ""jmctavish@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""10174fa5601a678e78ce34270f9d1d26"", ""active_flag"": false, ""value"": 8226870}",549622,b,John McTavish,,3,True,,,0,0,2019-03-06 16:53:36,,0,5 Avenue Southwest,Canada,0,0,0,Calgary,,0,,0,,0,,,,T2P 3R7,,0,520,0,0,0,0,0,"520 5 Ave SW, Calgary, AB T2P 3R7, Canada",Alberta,Division No. 6,0
462,Blackspur Oil Corp,,"1110, 335-8 Ave SW  Calgary, AB T2P 1C9 ",2016-05-19 17:18:18,ncsmultistagellc@pipedrivemail.com,"{""id"": 1417400, ""name"": ""Rich Pulles"", ""email"": ""rich@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""a346ee1145e4cd3dbd98d01dd329369a"", ""active_flag"": false, ""value"": 1417400}",549622,b,Rich Pulles,,3,True,,,0,1,2022-01-04 16:04:24,,4,,,1,0,58,,21807.0,0,27921.0,0,,3,2020-06-01,2020-08-10,,,,130,,55,0,3,0,0,,,,0
463,Border Energy Ltd,,"PO Box 172  Virden, MB R0M 2C0 Canada",2016-05-19 17:18:18,ncsmultistagellc@pipedrivemail.com,"{""id"": 8226870, ""name"": ""John McTavish"", ""email"": ""jmctavish@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""10174fa5601a678e78ce34270f9d1d26"", ""active_flag"": false, ""value"": 8226870}",549622,b,John McTavish,,3,True,,,0,0,2019-03-06 16:53:36,,0,,Canada,0,0,0,Virden,,0,,0,,0,,,,,,0,,0,0,0,0,0,"Virden, MB R0M, Canada",Manitoba,Division No. 6,0
464,Bonavista Energy Corporation,23247.0,"700, 311-6th Avenue SW  Calgary, AB  Canada",2016-05-19 17:18:18,ncsmultistagellc@pipedrivemail.com,"{""id"": 5667256, ""name"": ""Tyler Sanden"", ""email"": ""tsanden@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""e67d3eecfd622867138042d6790ee288"", ""active_flag"": false, ""value"": 5667256}",549622,b,Tyler Sanden,,3,True,,,7,3,2023-12-08 13:54:41,,11,8 Avenue Southwest,Canada,3,0,53,Calgary,29398.0,0,,0,,0,2020-06-17,,,T2P 1G1,,66,525,53,0,0,0,0,"525 8 Ave SW, Calgary, AB T2P 1G1, Canada",Alberta,Division No. 6,0
465,Bonterra Energy Corp,,"901, 1015 - 4th St SW  Calgary, AB T2R 1J4 ",2016-05-19 17:18:18,ncsmultistagellc@pipedrivemail.com,"{""id"": 1417400, ""name"": ""Rich Pulles"", ""email"": ""rich@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""a346ee1145e4cd3dbd98d01dd329369a"", ""active_flag"": false, ""value"": 1417400}",549622,b,Rich Pulles,,3,True,,,2,6,2023-12-08 13:54:46,,7,,,2,0,84,,27905.0,0,29469.0,0,,0,2020-06-17,2020-08-10,,,,543,,82,0,2,0,0,,,,0
466,Broadview Energy,,"c/o Tristar Resources 800, 815-8th Ave SW Calgary, AB T2P 3P2 ",2016-05-19 17:18:19,ncsmultistagellc@pipedrivemail.com,"{""id"": 8226870, ""name"": ""John McTavish"", ""email"": ""jmctavish@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""10174fa5601a678e78ce34270f9d1d26"", ""active_flag"": false, ""value"": 8226870}",549622,b,John McTavish,,3,True,,,2,1,2022-01-04 16:03:50,,0,,Canada,2,0,3,Calgary,20481.0,0,,0,,0,2019-06-10,,,T2P 3P2,,0,,3,0,0,0,0,"Calgary, AB T2P 3P2, Canada",Alberta,Division No. 6,0
467,"Border Petroleum, Inc.",,"680-140 4th Ave  Calgary, AB T2P 3N3 ",2016-05-19 17:18:19,ncsmultistagellc@pipedrivemail.com,"{""id"": 8226870, ""name"": ""John McTavish"", ""email"": ""jmctavish@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""10174fa5601a678e78ce34270f9d1d26"", ""active_flag"": false, ""value"": 8226870}",549622,b,John McTavish,,3,True,,,0,0,2019-03-06 16:53:36,,0,4 Avenue Southwest,Canada,0,0,0,Calgary,,0,,0,,0,,,,,,0,140,0,0,0,0,0,"140 4 Ave SW, Calgary, AB T2P, Canada",Alberta,Division No. 6,0
468,Boulder Energy LTD,,"2200, 520 - 3rd Ave SW  Calgary, AB T2P 0R3 ",2016-05-19 17:18:19,ncsmultistagellc@pipedrivemail.com,"{""id"": 1417400, ""name"": ""Rich Pulles"", ""email"": ""rich@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""a346ee1145e4cd3dbd98d01dd329369a"", ""active_flag"": false, ""value"": 1417400}",549622,b,Rich Pulles,,3,True,,,0,1,2022-01-04 16:03:51,,1,3 Avenue Southwest,Canada,2,0,7,Calgary,27923.0,0,28503.0,0,,0,2020-05-22,2020-08-17,,T2P 0R6,,0,520,6,0,1,0,0,"520 3 Ave SW, Calgary, AB T2P 0R6, Canada",Alberta,Division No. 6,0
469,"Bruin Oil & Gas, Inc.",,"1600, 703 - 6th Ave SW  Calgary, AB T2P 2Z1 ",2016-05-19 17:18:19,ncsmultistagellc@pipedrivemail.com,"{""id"": 1417410, ""name"": ""Robert Proctor"", ""email"": ""rproctor@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""73f723bf6c652ccdc73e85fe6ac83979"", ""active_flag"": false, ""value"": 1417410}",549622,b,Robert Proctor,,3,True,,,4,2,2023-12-08 13:54:40,,2,6 Avenue Southwest,Canada,2,0,5,Calgary,5676.0,0,,0,600,0,2017-04-11,,,T2P 0T9,,2,703,5,0,0,0,0,"703 6 Ave SW, Calgary, AB T2P 0T9, Canada",Alberta,Division No. 6,0
470,CBW Resource Consultants,,"Suite 700,435-4th Ave S.W.  Calgary, AB  ",2016-05-19 17:18:19,ncsmultistagellc@pipedrivemail.com,"{""id"": 1417395, ""name"": ""Calvin Ross"", ""email"": ""calvin@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""a751d34f863a47653e71de684ed85395"", ""active_flag"": false, ""value"": 1417395}",549622,c,Calvin Ross,,3,True,,,4,2,2023-12-08 13:54:31,,4,4 Avenue Southwest,Canada,2,0,28,Calgary,21408.0,0,10212.0,0,700,0,2019-08-02,2018-02-06,,T2P 0J4,,97,435,26,0,2,0,0,"435 4 Ave SW #700, Calgary, AB T2P 0J4, Canada",Alberta,Division No. 6,0
471,CTE Industries Ltd.,,"2451-76 Ave NW  Edmonton, AB T6P-1P6 ",2016-05-19 17:18:19,ncsmultistagellc@pipedrivemail.com,"{""id"": 8226870, ""name"": ""John McTavish"", ""email"": ""jmctavish@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""10174fa5601a678e78ce34270f9d1d26"", ""active_flag"": false, ""value"": 8226870}",549622,c,John McTavish,,3,True,,,0,0,2019-03-06 16:53:36,,0,76 Avenue Northwest,Canada,0,0,0,Edmonton,,0,,0,,0,,,,T6P 1P6,,0,2451,0,0,0,0,0,"2451 76 Ave NW, Edmonton, AB T6P 1P6, Canada",Alberta,Division No. 11,0
472,CanRock Energy Corp.,,"1100-744, 4 Ave Sw  Calgary, AB T2P 3T4 Canada",2016-05-19 17:18:19,ncsmultistagellc@pipedrivemail.com,"{""id"": 8226870, ""name"": ""John McTavish"", ""email"": ""jmctavish@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""10174fa5601a678e78ce34270f9d1d26"", ""active_flag"": false, ""value"": 8226870}",549622,c,John McTavish,,3,True,,,0,0,2019-03-06 16:53:36,,0,,,0,0,0,,,0,,0,,0,,,,,,0,,0,0,0,0,0,,,,0
473,CanEra Energy Corp,,"1500, 202-6 Ave SW  Calgary, AB T2P 2R9 ",2016-05-19 17:18:19,ncsmultistagellc@pipedrivemail.com,"{""id"": 8226870, ""name"": ""John McTavish"", ""email"": ""jmctavish@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""10174fa5601a678e78ce34270f9d1d26"", ""active_flag"": false, ""value"": 8226870}",549622,c,John McTavish,,3,True,,,0,0,2019-03-06 16:53:36,,0,6 Avenue Southwest,Canada,0,0,0,Calgary,,0,,0,,0,,,,T2P 2R9,,0,202,0,0,0,0,0,"202 6 Ave SW, Calgary, AB T2P 2R9, Canada",Alberta,Division No. 6,0
