id,name,label,address,add_time,cc_email,owner_id,company_id,first_char,owner_name,picture_id,visible_to,active_flag,category_id,delete_time,files_count,notes_count,update_time,country_code,people_count,address_route,address_country,followers_count,won_deals_count,activities_count,address_locality,last_activity_id,lost_deals_count,next_activity_id,open_deals_count,address_subpremise,closed_deals_count,last_activity_date,next_activity_date,next_activity_time,address_postal_code,address_sublocality,email_messages_count,address_street_number,done_activities_count,related_won_deals_count,undone_activities_count,related_lost_deals_count,related_open_deals_count,address_formatted_address,address_admin_area_level_1,address_admin_area_level_2,related_closed_deals_count
721,Continental Resources,,"PO BOX 269007  Oklahoma City, OK 73126",2016-05-19 17:19:37,ncsmultistagellc@pipedrivemail.com,"{""id"": 11380775, ""name"": ""Brandon Dore"", ""email"": ""bdore@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": false, ""value"": 11380775}",549622,c,Brandon Dore,,3,True,,,0,3,2024-02-21 22:30:34,,23,,,3,6,146,,37448.0,1,,7,,7,2024-02-21,,,,,0,,146,0,0,0,0,,,,0
731,EOG Denver,,,2016-05-19 17:19:37,ncsmultistagellc@pipedrivemail.com,"{""id"": 3157332, ""name"": ""Nick Jones"", ""email"": ""njones@spectrumtracer.com"", ""has_pic"": 1, ""pic_hash"": ""53240b634b1a234c7bf21850c9316a9f"", ""active_flag"": true, ""value"": 3157332}",549622,e,Nick Jones,,3,True,,,14,18,2024-02-13 14:34:53,,36,,,1,3,132,,32412.0,3,3733.0,6,,6,2021-03-26,2017-01-16,16:00:00,,,9,,126,0,6,0,0,,,,0
740,Ovintiv (USA) Inc.,,"370 17th St #1700  Denver, CO 80202",2016-05-19 17:19:38,ncsmultistagellc@pipedrivemail.com,"{""id"": 3157332, ""name"": ""Nick Jones"", ""email"": ""njones@spectrumtracer.com"", ""has_pic"": 1, ""pic_hash"": ""53240b634b1a234c7bf21850c9316a9f"", ""active_flag"": true, ""value"": 3157332}",549622,o,Nick Jones,,3,True,,,2,18,2024-01-18 20:47:52,,15,,,3,1,135,,37207.0,6,3679.0,3,,7,2024-01-05,2017-01-06,00:00:00,,,1,,128,0,7,0,0,,,,0
776,Lewis Energy Group,,"10101 Reunion Place Suite 1000 San Antonio, TX 78216 USA",2016-05-19 17:19:41,ncsmultistagellc@pipedrivemail.com,"{""id"": 3157332, ""name"": ""Nick Jones"", ""email"": ""njones@spectrumtracer.com"", ""has_pic"": 1, ""pic_hash"": ""53240b634b1a234c7bf21850c9316a9f"", ""active_flag"": true, ""value"": 3157332}",549622,l,Nick Jones,,3,True,,,0,4,2024-01-04 20:44:48,,6,,,3,3,23,,35620.0,4,,1,,7,2023-01-19,,,,,0,,23,0,0,0,0,,,,0
779,Marathon Oil,,"ATTN A/P Eagle Ford CO Code 1150 Tulsa, OK 74121-2165",2016-05-19 17:19:41,ncsmultistagellc@pipedrivemail.com,"{""id"": 6364667, ""name"": ""Brandon Gowisnock"", ""email"": ""bgowisnock@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 6364667}",549622,m,Brandon Gowisnock,,3,True,,,2,17,2024-03-04 20:08:16,,42,,,2,21,131,,32770.0,3,10441.0,6,,24,2021-05-24,2018-03-12,,,,17,,128,0,3,0,0,,,,0
799,"PDC Energy, Inc.",,"120 Genesis Blvd PO BOX 26 Bridgeport, WV 26330-0026",2016-05-19 17:19:43,ncsmultistagellc@pipedrivemail.com,"{""id"": 5296451, ""name"": ""Tom Faurot"", ""email"": ""tfaurot@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 5296451}",549622,p,Tom Faurot,,3,True,,,5,11,2024-01-10 20:36:20,,10,,,1,1,71,,37226.0,0,3192.0,2,,1,2024-01-10,2016-11-29,03:00:00,,,8,,61,0,10,0,0,,,,0
831,SM Energy,,"777 N Eldridge Pkwy  Houston, TX 77079",2016-05-19 17:19:46,ncsmultistagellc@pipedrivemail.com,"{""id"": 10387065, ""name"": ""Kenneth Nix"", ""email"": ""knix@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": false, ""value"": 10387065}",549622,s,Kenneth Nix,,3,True,,,0,7,2024-01-23 21:22:47,,25,,,3,8,106,,37316.0,12,3115.0,5,,20,2024-01-23,2016-11-16,16:00:00,,,0,,89,0,17,0,0,,,,0
835,Sabine Oil and Gas Corporation,,"C/O Accounts Payable Dept 1415 Louisiana St # 1600 Houston, TX 77002",2016-05-19 17:19:46,ncsmultistagellc@pipedrivemail.com,"{""id"": 10095749, ""name"": ""Paul Scranton"", ""email"": ""pscranton@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 10095749}",549622,s,Paul Scranton,,3,True,,,0,7,2024-03-01 16:11:21,,4,,,3,38,63,,32223.0,2,13641.0,1,,40,2021-03-08,2018-08-06,,,,0,,59,0,4,0,0,,,,0
837,Sandridge Energy,,"1 E Sheridan Ave Suite 500, Oklahoma City, OK 73104, USA",2016-05-19 17:19:47,ncsmultistagellc@pipedrivemail.com,"{""id"": 2657508, ""name"": ""Matt Barnes"", ""email"": ""mbarnes@ncsmultistage.com"", ""has_pic"": 1, ""pic_hash"": ""963fbb436ec00bb830f98f9b0d80b94c"", ""active_flag"": false, ""value"": 2657508}",549622,s,Matt Barnes,,3,True,,,1,5,2024-03-15 16:31:33,,10,East Sheridan Avenue,United States,2,0,112,Oklahoma City,37583.0,1,26609.0,2,i 500 i,1,2024-03-15,2020-04-29,,73104,,0,1,111,0,1,0,0,"1 E Sheridan Ave i 500 i, Oklahoma City, OK 73104, USA",Oklahoma,Oklahoma County,0
874,"XTO Energy, Inc.",,,2016-05-19 17:19:50,ncsmultistagellc@pipedrivemail.com,"{""id"": 6364667, ""name"": ""Brandon Gowisnock"", ""email"": ""bgowisnock@ncsmultistage.com"", ""has_pic"": 0, ""pic_hash"": null, ""active_flag"": true, ""value"": 6364667}",549622,x,Brandon Gowisnock,,3,True,,,8,13,2024-02-06 17:43:57,,67,,,2,55,1361,,37364.0,2,29653.0,11,,57,2024-02-06,2020-06-30,,,,1,,1357,0,4,0,0,,,,0
